,id,name,host_id,host_name,neighbourhood,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,Unnamed: 0,host_listings_count
3484,14946047,Private Room in DT Burbank,10714834,John,Burbank,,34.18880358,-118.31829990000001,Private room,47,1,6,4/22/2017,2.43,76,3484,1.0
3605,15936579,King bed w/private bath in 5 star villa in valley,13060120,Habiba,Canoga Park,,34.22476001,-118.59891680000001,Private room,47,1,1,4/4/2017,0.19,365,3605,10.0
16285,15532790,"Sunny Long Beach Retreat ""Garden House""",2316498,Mark And Chomchay!,Long Beach,,33.79800861,-118.1969462,Entire home/apt,47,2,23,4/8/2017,3.61,229,16285,6.0
23406,1101568,Private Room in Cozy Cottage,5757665,Ann,Sherman Oaks,,34.17128494,-118.4622254,Private room,47,7,12,4/29/2017,0.35,350,23406,2.0
13585,6103534,Bright and cozy room near LAX,20625573,Marlene,Inglewood,,33.97883302,-118.3578493,Private room,47,1,92,4/23/2017,4.44,16,13585,1.0
10664,6643860,洛杉磯東區哈崗別墅獨立衛浴小套房,9488470,康康,Hacienda Heights,,34.00990453,-117.9970169,Private room,47,2,4,8/19/2015,0.17,241,10664,5.0
24592,13474446,Peaceful and Private Room off 5 FWY near shopping,77102058,Candace,Stevenson Ranch,,34.38687982,-118.5785822,Private room,47,1,0,,,0,24592,1.0
3231,13047479,2nd Bedroom in this Cerritos Home.,58803680,Charles,Cerritos,,33.87465838,-118.066142,Private room,47,1,5,2/5/2017,0.58,357,3231,2.0
7607,14714946,Private Room in Nice Neighborhood,91502658,Doris & Carlos,Downey,,33.95015936,-118.14379609999999,Private room,47,1,36,4/14/2017,4.44,74,7607,3.0
13611,17436891,Charming private room near lax#4,89465410,Jose,Inglewood,,33.93637506,-118.3319477,Private room,47,1,9,4/12/2017,4.66,264,13611,5.0
29438,1283333,Kingsized Room in Great WeHo House,5456032,Paul,West Hollywood,,34.08787707,-118.3607014,Private room,47,2,14,2/23/2017,0.88,137,29438,4.0
21413,414001,Luxury Apt Suite 羅蘭崗 孔雀園,190703,Jocelyn,Rowland Heights,,33.98978942,-117.9179385,Private room,47,4,9,5/31/2016,0.19,365,21413,3.0
13240,11226321,Bright Mid-Wilshire Koreatown Studio,4609011,Mary-Alice,Koreatown,,34.0563218,-118.3103501,Entire home/apt,47,14,1,8/20/2016,0.12,24,13240,1.0
